Word,Length,Freq_HAL,Log_Freq_HAL,NPhon,NSyll,NMorph,POS
abnormalities,13,644,6.47,12,5,5,NN
abnormality,11,291,5.67,11,5,4,NN
abnormally,10,372,5.92,8,4,4,RB
aboard,6,3721,8.22,5,2,1,minor|RB
abode,5,486,6.19,4,2,1,NN
abolish,7,1606,7.38,6,3,1,VB
abolished,9,1458,7.28,7,3,2,VB
abolition,9,827,6.72,7,4,2,NN
abolitionist,12,134,4.9,10,5,3,NN|JJ
abolitionists,13,100,4.61,11,5,4,NN
abominate,9,3,1.1,8,4,2,VB
aborigines,10,511,6.24,10,5,4,NN
abort,5,2778,7.93,5,2,1,VB
abominable,10,473,6.16,9,5,2,JJ
aboriginal,10,1459,7.29,9,5,3,JJ|NN
aborigine,9,71,4.26,9,5,3,NN
abortion,8,16764,9.73,6,3,2,NN
abortionist,11,206,5.33,9,4,3,NN
abortions,9,3768,8.23,7,3,3,NN
abortive,8,213,5.36,7,3,2,JJ
abound,6,1065,6.97,5,2,1,VB
abounded,8,78,4.36,7,3,2,VB
abounding,9,100,4.61,7,3,2,VB
abounds,7,314,5.75,6,2,2,VB
about,5,1307019,14.08,4,2,1,minor|RB|JJ
above,5,177919,12.09,4,2,1,minor|JJ|NN
aboveground,11,19,2.94,9,3,2,RB|JJ
abracadabra,11,73,4.29,11,5,1,minor
Abraham,7,3824,8.25,7,3,1,NN
abrasion,8,250,5.52,6,3,2,NN
abrasive,8,576,6.36,7,3,2,JJ
abreast,7,491,6.2,6,2,1,RB
abridged,8,797,6.68,6,2,2,VB
abridgment,10,42,3.74,9,3,2,NN
abroad,6,5984,8.7,5,2,1,RB|NN
abrogate,8,100,4.61,7,3,3,VB
abrogated,9,128,4.85,9,4,4,VB
abrupt,6,719,6.58,6,2,1,JJ
abruptly,8,1230,7.11,8,3,2,RB
abruptness,10,23,3.14,9,3,2,NN
abscess,7,96,4.56,5,2,1,NN
abscesses,9,109,4.69,7,3,2,NN
abscissa,8,18,2.89,6,3,2,NN
abscond,7,17,2.83,7,2,1,VB
absence,7,7304,8.9,5,2,2,NN
absences,8,143,4.96,7,3,3,NN
absent,6,3019,8.01,5,2,2,JJ
absented,8,4,1.39,8,3,3,VB
absentee,8,152,5.02,6,3,3,JJ
absenteeism,11,78,4.36,9,5,4,NN
absently,8,190,5.25,7,3,3,RB
absinth,7,8,2.08,6,2,1,NN
absolute,8,16840,9.73,7,3,1,JJ|NN
absoluteness,12,23,3.14,10,4,2,NN
absentmindedly,14,49,3.89,13,5,5,RB
absolutely,10,36965,10.52,9,4,2,RB
absolutes,9,587,6.38,8,3,2,NN
absolution,10,140,4.94,8,4,2,NN
absolutism,10,197,5.28,10,5,2,NN
absolve,7,223,5.41,6,2,2,VB
absorb,6,2787,7.93,6,2,2,VB
absorbed,8,2954,7.99,7,2,3,VB|JJ
absorbency,10,82,4.41,10,4,3,NN
absorbent,9,193,5.26,9,3,3,JJ
absorber,8,143,4.96,7,3,3,NN
absorbing,9,933,6.84,8,3,3,VB|JJ
absorbs,7,619,6.43,7,2,3,VB
absorption,10,1735,7.46,8,3,3,NN
absorptions,11,11,2.4,9,3,4,NN
absorptive,10,32,3.47,9,3,3,JJ
abstain,7,960,6.87,6,2,1,VB
abstaining,10,190,5.25,8,3,2,VB|NN
abstention,10,72,4.28,8,3,2,NN
abstinence,10,983,6.89,9,3,2,NN
abstinent,9,73,4.29,9,3,2,JJ
abstract,8,8606,9.06,8,2,2,JJ|NN|VB
abstracted,10,261,5.56,10,3,3,JJ|VB
abstractedness,14,2,0.69,13,4,4,NN
abstracting,11,113,4.73,10,3,3,VB|NN
abstraction,11,1596,7.38,9,3,3,NN
abstractionism,14,1,0,14,5,NULL,NN
abstractionists,15,3,1.1,13,4,5,NN
abstractions,12,512,6.24,10,3,4,NN
abstractive,11,7,1.95,10,3,NULL,JJ
abstractly,10,143,4.96,10,3,3,RB
abstractors,11,0,0,10,3,4,NN
abstracts,9,4089,8.32,9,2,3,NN|VB
abstruse,8,157,5.06,7,2,1,JJ
absurd,6,4985,8.51,5,2,1,JJ|NN
absurdities,11,300,5.7,9,4,3,NN
absurdity,9,1084,6.99,8,4,2,NN
absurdly,8,316,5.76,7,3,2,RB
abundance,9,1825,7.51,8,3,2,NN
abundant,8,1381,7.23,8,3,2,JJ
abuse,5,25915,10.16,5,2,1,VB
abused,6,6038,8.71,6,2,2,VB|JJ
abuses,6,3312,8.11,7,3,2,VB
abusive,7,3526,8.17,7,3,2,JJ
acid,4,13610,9.52,4,2,1,NN|JJ
abutment,8,19,2.94,8,3,2,NN
abutments,9,18,2.89,9,3,3,NN
abysmal,7,619,6.43,6,3,2,JJ
abyss,5,4219,8.35,4,2,1,NN
acacia,6,213,5.36,5,3,1,NN
academic,8,17622,9.78,8,4,2,JJ|NN
academically,12,725,6.59,10,5,3,RB
academicianship,15,1,0,12,6,4,NN
academics,9,1817,7.5,9,4,3,NN
academies,9,967,6.87,8,4,3,NN
academy,7,12050,9.4,7,4,2,NN
Acadia,6,305,5.72,6,3,1,NN
Acapulco,8,180,5.19,8,4,1,NN
accede,6,149,5,5,2,2,VB
acceded,7,62,4.13,7,3,3,VB
accent,6,5213,8.56,6,2,1,NN
accelerando,11,7,1.95,11,5,1,JJ|RB
accelerate,10,2368,7.77,9,4,3,VB
accelerated,11,3367,8.12,11,5,4,VB
accelerating,12,1037,6.94,11,5,4,VB|NN
acceleration,12,4203,8.34,10,5,4,NN
accelerations,13,169,5.13,11,5,5,NN
accelerator,11,5152,8.55,10,5,4,NN
accelerators,12,1466,7.29,11,5,5,NN
accelerometer,13,70,4.25,12,6,3,NN
accelerometers,14,63,4.14,13,6,4,NN
accented,8,1182,7.07,8,3,2,VB|JJ
accenting,9,54,3.99,8,3,2,VB|NN
accents,7,1796,7.49,7,2,2,NN
accentual,9,1,0,9,3,2,JJ
accentuate,10,161,5.08,9,4,2,VB
accentuated,11,193,5.26,11,5,3,VB
accentuates,11,57,4.04,10,4,3,VB
accept,6,49430,10.81,6,2,2,VB
accolade,8,703,6.56,6,3,1,NN
acceptable,10,16372,9.7,9,4,3,JJ
acceptance,10,8774,9.08,9,3,3,NN
accepted,8,33901,10.43,8,3,3,VB|JJ
accepting,9,7649,8.94,8,3,3,VB
accepts,7,4586,8.43,7,2,3,VB
access,6,172256,12.06,5,2,2,NN|VB
accesses,8,2369,7.77,7,3,3,NN|VB
accessible,10,10758,9.28,8,4,3,JJ
accessions,10,48,3.87,7,3,4,NN
accessories,11,5737,8.65,9,4,3,NN
accessors,9,173,5.15,7,3,4,NN
accessory,9,1342,7.2,8,4,2,NN
accident,8,11152,9.32,7,3,2,NN
accidental,10,2346,7.76,9,4,3,JJ
accidents,9,4163,8.33,8,3,3,NN
acclaim,7,889,6.79,5,2,1,NN|VB
accidentally,12,4432,8.4,10,5,4,RB
acclaimed,9,1049,6.96,6,2,2,VB|JJ
acclaims,8,7,1.95,6,2,2,VB
acclimate,9,97,4.57,7,3,2,VB
acclamation,11,26,3.26,8,4,2,NN
acclimatized,12,17,2.83,10,4,4,VB|JJ
accolades,9,227,5.42,7,3,2,NN
accommodate,11,2454,7.81,8,4,1,VB
accommodated,12,301,5.71,10,5,2,VB
accommodates,12,136,4.91,9,4,2,VB
accommodating,13,447,6.1,10,5,2,VB|JJ
accommodation,13,2006,7.6,9,5,2,NN
accommodations,14,1434,7.27,10,5,3,NN
accompanied,11,4441,8.4,9,4,4,VB
accompanies,11,722,6.58,9,4,4,VB
accompaniment,13,711,6.57,12,5,4,NN
accompaniments,14,36,3.58,13,5,5,NN
accompanist,11,156,5.05,10,4,3,NN
accompanists,12,73,4.29,11,4,4,NN
accompany,9,2138,7.67,8,4,3,VB
acorns,6,359,5.88,6,2,2,NN
acoustic,8,5401,8.59,7,3,2,JJ
acoustical,10,270,5.6,8,4,3,JJ
acoustics,9,1240,7.12,8,3,2,NN
accompanying,12,2991,8,10,5,4,VB
accomplice,10,281,5.64,8,3,1,NN
accomplices,11,220,5.39,10,4,2,NN
accomplish,10,7794,8.96,8,3,1,VB
accomplished,12,6982,8.85,9,3,2,VB|JJ
accomplishes,12,592,6.38,10,4,2,VB
accomplishing,13,704,6.56,10,4,2,VB
accomplishment,14,1301,7.17,12,4,2,NN
accomplishments,15,1990,7.6,13,4,3,NN
accord,6,3524,8.17,5,2,2,NN|VB
accordance,10,4854,8.49,7,3,3,NN
accorded,8,563,6.33,7,3,3,VB
according,9,64745,11.08,7,3,3,VB|NN
accordingly,11,5108,8.54,9,4,4,RB
accordion,9,590,6.38,8,3,1,NN
accords,7,974,6.88,6,2,3,NN|VB
accost,6,31,3.43,5,2,1,VB
accosted,8,168,5.12,7,3,2,VB
accosting,9,24,3.18,7,3,2,VB|NN
account,7,60958,11.02,5,2,1,NN|VB
accountable,11,2339,7.76,8,4,2,JJ
accountant,10,1527,7.33,7,3,2,NN
accountability,14,1478,7.3,12,6,3,NN
accountants,11,1506,7.32,8,3,3,NN
accounted,9,1502,7.31,7,3,2,VB
accounting,10,15754,9.66,7,3,2,NN|VB
accounts,8,18019,9.8,6,2,2,NN|VB
accredit,8,35,3.56,7,3,2,VB
accreditation,13,561,6.33,10,5,4,NN
accredited,10,1049,6.96,9,4,3,VB
accrue,6,611,6.42,4,2,1,VB
accrued,7,230,5.44,5,2,2,VB
accrues,7,63,4.14,5,2,2,VB
accruing,8,155,5.04,6,3,2,VB|NN
acculturated,12,24,3.18,11,5,4,VB|JJ
acculturation,13,35,3.56,10,5,4,NN
accumulate,10,1392,7.24,10,4,3,VB
accumulates,11,249,5.52,11,4,4,VB
ached,5,296,5.69,3,1,2,VB
aches,5,419,6.04,3,1,2,NN|VB
accumulated,11,2137,7.67,12,5,4,VB
accumulating,12,553,6.32,12,5,4,VB
achieve,7,15544,9.65,4,2,1,VB
achieved,8,8305,9.02,5,2,2,VB|JJ
accumulation,12,1206,7.1,11,5,4,NN
accuracy,8,10534,9.26,8,4,2,NN
accurate,8,21492,9.98,7,3,2,JJ
accurately,10,5396,8.59,9,4,3,RB
accurst,7,4,1.39,5,2,3,JJ
accusation,10,2176,7.69,8,4,2,NN
accusations,11,3477,8.15,9,4,3,NN
accusative,10,103,4.63,9,4,2,JJ|NN
accuse,6,3798,8.24,5,2,1,VB
accused,7,9093,9.12,6,2,2,VB|NN|JJ
accuses,7,809,6.7,7,3,2,VB
accusing,8,2296,7.74,7,3,2,VB|JJ
accusingly,10,39,3.66,9,4,3,RB
accustom,8,75,4.32,7,3,2,VB
acolyte,7,444,6.1,6,3,1,NN
acorn,5,8301,9.02,5,2,1,NN
accustomed,10,1691,7.43,8,3,3,VB|JJ
acme,4,911,6.81,4,2,1,NN
acerbic,7,76,4.33,6,3,2,JJ
acne,4,536,6.28,4,2,1,NN
acetate,7,547,6.3,6,3,1,NN
acetone,7,423,6.05,6,3,1,NN
acetylene,9,82,4.41,8,4,1,NN
acre,4,1554,7.35,3,2,1,NN
achievement,11,3925,8.28,8,3,2,NN
achievements,12,2085,7.64,9,3,3,NN
achieves,8,762,6.64,5,2,2,VB
achieving,9,3180,8.06,6,3,2,VB|NN
Achilles,8,688,6.53,6,3,1,NN
aching,6,1099,7,4,2,2,VB
acts,4,19423,9.87,4,1,2,NN|VB
acidic,6,809,6.7,6,3,2,JJ
acidity,7,256,5.55,7,4,2,NN
acids,5,2326,7.75,5,2,2,NN
acknowledges,12,1067,6.97,9,4,4,VB
Adam,4,19626,9.88,4,2,1,NN|RB
adds,4,11870,9.38,3,1,2,VB
acknowledge,11,6783,8.82,7,3,3,VB
acknowledged,12,3936,8.28,8,3,4,VB|JJ
acknowledgement,15,1823,7.51,11,4,4,NN
acknowledging,13,1216,7.1,9,4,4,VB
acknowledgment,14,948,6.85,11,4,4,NN
acknowledgments,15,409,6.01,12,4,5,NN
acoustically,12,157,5.06,9,4,4,RB
acquaint,8,167,5.12,6,2,1,VB
acquaintance,12,1275,7.15,8,3,2,NN
acquainted,10,1022,6.93,8,3,2,VB
acquiesce,9,108,4.68,6,3,1,VB
acquiesced,10,111,4.71,7,3,2,VB
acquiescence,12,91,4.51,8,4,2,NN
acquiescent,11,19,2.94,8,4,2,JJ
acquire,7,6529,8.78,5,2,2,VB
acquired,8,6388,8.76,6,2,3,VB
acquires,8,460,6.13,6,2,3,VB
acquiring,9,1952,7.58,7,3,3,VB
acrylic,7,844,6.74,7,3,1,NN|JJ
afar,4,446,6.1,4,2,1,RB
acquisition,11,5006,8.52,8,4,3,NN
acquisitions,12,1098,7,9,4,4,NN
acquisitive,11,40,3.69,9,4,3,JJ
acquit,6,100,4.61,5,2,2,VB
acquittal,9,249,5.52,6,3,3,NN
acquitted,9,608,6.41,7,3,3,VB
afro,4,293,5.68,4,2,1,JJ
acquisitiveness,15,4,1.39,12,5,4,NN
acreage,7,231,5.44,5,3,2,NN
acres,5,3930,8.28,4,2,2,NN
acrid,5,111,4.71,5,2,1,JJ
acrimonious,11,113,4.73,10,4,2,JJ
acrimony,8,89,4.49,8,4,1,NN
acrobat,7,2449,7.8,7,3,1,NN
acrobatic,9,167,5.12,9,4,2,JJ
acrobatics,10,401,5.99,10,4,2,NN
acrobats,8,66,4.19,8,3,2,NN
acronym,7,1966,7.58,7,3,2,NN
Acropolis,9,109,4.69,9,4,1,NN
across,6,62336,11.04,5,2,1,minor
acted,5,4894,8.5,5,2,2,VB
acting,6,16012,9.68,5,2,2,VB|NN
action,6,77756,11.26,4,2,2,NN
actions,7,29726,10.3,5,2,3,NN
activate,8,3486,8.16,7,3,3,VB
activated,9,3246,8.09,9,4,4,VB
activating,10,655,6.48,9,4,4,VB
activation,10,1918,7.56,8,4,4,NN
active,6,35565,10.48,5,2,2,JJ
actively,8,7101,8.87,7,3,3,RB
activism,8,1558,7.35,8,4,3,NN
activist,8,3525,8.17,8,3,3,NN
activities,10,32765,10.4,9,4,4,NN
activity,8,26484,10.18,8,4,3,NN
actor,5,10471,9.26,4,2,2,NN
actors,6,7249,8.89,5,2,3,NN
actor's,7,363,5.89,5,2,NULL,NULL
actress,7,4996,8.52,6,2,2,NN
actresses,9,1663,7.42,8,3,3,NN
agar,4,804,6.69,4,2,NULL,NN
actual,6,40919,10.62,6,2,2,JJ|NN
actualities,11,38,3.64,10,5,4,NN
actuality,9,950,6.86,9,5,3,NN
actually,8,196457,12.19,7,3,3,RB
actuary,7,49,3.89,7,4,2,NN
acuity,6,228,5.43,7,3,1,NN
acupuncture,11,525,6.26,10,4,2,NN
acute,5,2427,7.79,5,2,1,JJ|NN
acutely,7,332,5.81,7,3,2,RB
acuteness,9,19,2.94,8,3,2,RB
aged,4,3437,8.14,4,2,2,JJ
ages,4,17369,9.76,4,2,2,NN|VB
adage,5,503,6.22,4,2,1,NN
ahem,4,1977,7.59,4,2,1,minor|NN
adamant,7,624,6.44,7,3,1,JJ
adamantly,9,329,5.8,9,4,2,RB
zoologist,9,301,5.71,9,4,3,NN
zoology,7,707,6.56,7,4,3,NN
ahoy,4,192,5.26,3,2,1,NN
zooming,7,523,6.26,5,2,2,VB
zooms,5,385,5.95,4,1,2,VB
zucchini,8,314,5.75,6,3,1,NN
Zurich,6,1770,7.48,5,2,1,NN
aide,4,1575,7.36,2,1,1,NN
wonder,6,51799,10.86,5,2,1,NN|VB
wondered,8,9133,9.12,6,2,2,VB
wonderful,9,31958,10.37,7,3,2,JJ
wonderfully,11,2286,7.73,8,4,3,RB
wonderfulness,13,50,3.91,10,4,3,NN
wondering,9,41742,10.64,7,3,2,VB|NN
wonderingly,11,17,2.83,9,4,3,RB
wonderland,10,965,6.87,9,3,2,NN
wonders,7,4983,8.51,6,2,2,NN|VB
wondrous,8,573,6.35,7,2,2,JJ
wondrously,10,35,3.56,9,3,3,RB
aids,4,22058,10,3,1,2,NN|VB
won't,5,112554,11.63,4,1,2,encl
aims,4,2831,7.95,3,1,2,VB|NN
airs,4,1597,7.38,3,1,2,NN|VB
woodbine,8,64,4.16,6,2,1,NN
woodblock,9,20,3,7,2,2,NN
woodcarver,10,28,3.33,8,3,3,NN
woodcock,8,511,6.24,6,2,2,NN
woodcraft,9,92,4.52,8,2,2,NN
woodcut,7,22,3.09,6,2,2,NN
woodcutter,10,18,2.89,7,3,3,NN
woodcutters,11,4,1.39,8,3,4,NN
wooded,6,462,6.14,5,2,2,JJ
wooden,6,8164,9.01,4,2,2,JJ
woodgraining,12,0,0,9,3,3,VB
woodland,8,926,6.83,7,2,2,JJ|NN
woodman,7,138,4.93,6,2,2,NN
woodpecker,10,368,5.91,7,3,3,NN
woodpile,8,27,3.3,6,2,2,NN
Woodrow,7,433,6.07,5,2,2,NN
woods,5,9313,9.14,4,1,2,NN
woodshed,8,63,4.14,6,2,2,NN
woodsman,8,93,4.53,7,2,3,NN
Woodward,8,1373,7.22,6,2,2,NN
woodwind,8,281,5.64,7,2,2,NN
woodwork,8,464,6.14,6,2,2,NN|VB
woodworm,8,15,2.71,6,2,2,NN
woody,5,3061,8.03,4,2,2,JJ|NN
woodyard,8,6,1.79,7,2,2,NN
woodworking,11,871,6.77,8,3,3,NN|VB
wooed,5,47,3.85,3,1,2,VB
airy,4,362,5.89,3,2,2,JJ
ajar,4,149,5,4,2,1,RB
woolen,6,110,4.7,5,2,2,JJ
woollen,7,51,3.93,5,2,2,JJ
woolly,6,448,6.1,4,2,2,JJ|NN
woolworkers,11,0,0,8,3,4,NN
Woolworth's,11,69,4.23,7,2,NULL,NULL
woozy,5,71,4.26,4,2,1,JJ
Worcester,9,1692,7.43,5,2,2,NN
akin,4,2436,7.8,4,2,1,JJ
worded,6,1046,6.95,5,2,2,VB
wording,7,3360,8.12,5,2,2,NN|VB
wordless,8,110,4.7,6,2,2,JJ
wordplay,8,119,4.78,6,2,2,NN
words,5,99249,11.51,4,1,2,NN
Wordsworth,10,206,5.33,7,2,3,NN
wordy,5,267,5.59,4,2,2,JJ
Alan,4,33178,10.41,4,2,1,NN
alas,4,4353,8.38,4,2,1,minor
workable,8,1678,7.43,6,3,2,JJ
workbag,7,0,0,6,2,2,NN
workbasket,10,8,2.08,9,3,2,NN
workbench,9,2804,7.94,7,2,2,NN
workbook,8,558,6.32,6,2,2,NN
workday,7,137,4.92,5,2,2,NN
worked,6,59752,11,4,1,2,VB
worker,6,7057,8.86,4,2,2,NN
workers,7,18819,9.84,5,2,3,NN
worker's,8,484,6.18,5,2,3,encl
workhorse,9,220,5.39,7,2,2,NN
workhouse,9,14,2.64,6,2,2,NN
working,7,134669,11.81,5,2,2,VB|NN|JJ
workingmen,10,24,3.18,8,3,3,NN
workings,8,1486,7.3,6,2,3,NN
workman,7,568,6.34,6,2,2,NN
workman's,9,79,4.37,7,2,3,encl
workmanship,11,395,5.98,9,3,3,NN
workmen,7,96,4.56,6,2,2,NN
workout,7,2588,7.86,5,2,2,NN
workouts,8,683,6.53,6,2,3,NN
workpeople,10,1,0,7,3,2,NN
workpiece,9,61,4.11,6,2,2,NN
workroom,8,32,3.47,6,2,2,NN
works,5,139173,11.84,4,1,2,NN|VB
work's,6,126,4.84,4,1,2,encl
worksheet,9,421,6.04,6,2,2,NN
workshop,8,15377,9.64,6,2,2,NN
workshops,9,5362,8.59,7,2,3,NN
worktable,9,8,2.08,7,3,2,NN
world,5,295523,12.6,4,1,1,NN
worldly,7,1134,7.03,6,2,2,JJ
worlds,6,11180,9.32,5,1,2,NN
world's,7,12764,9.45,5,1,2,encl
worldshaking,12,0,0,9,3,NULL,NULL
worldwide,9,18597,9.83,7,2,2,JJ
Alex,4,18548,9.83,5,2,1,NN
wormhole,8,2001,7.6,6,2,2,NN
worms,5,5342,8.58,4,1,2,NN|VB
wormwood,8,1187,7.08,6,2,2,NN
wormy,5,58,4.06,4,2,2,JJ
alga,4,66,4.19,4,2,2,NN
wornout,7,13,2.56,6,2,3,JJ
worried,7,10980,9.3,5,2,2,VB|JJ
worriedly,9,52,3.95,7,3,3,RB
worries,7,2478,7.82,5,2,2,NN|VB
worrisome,9,236,5.46,6,3,2,JJ
worry,5,27060,10.21,4,2,1,VB|NN
worrying,8,3092,8.04,6,3,2,VB|NN|JJ
worse,5,34812,10.46,3,1,1,JJ|RB|NN
worsen,6,400,5.99,4,2,2,VB
worsened,8,334,5.81,5,2,3,VB
worsens,7,111,4.71,5,2,3,VB
worship,7,9668,9.18,5,2,1,NN|VB
worshiped,9,331,5.8,6,2,NULL,NULL
worshipful,10,82,4.41,7,3,2,JJ
worshiping,10,508,6.23,7,3,2,VB|NN|JJ
worshipped,10,959,6.87,6,2,2,VB
worshippers,11,601,6.4,7,3,3,NN
worshipping,11,952,6.86,7,3,2,VB
worst,5,23946,10.08,4,1,1,JJ|RB|NN|VB
worsted,7,37,3.61,6,2,2,JJ|VB
ally,4,2857,7.96,3,2,1,NN|VB
worth,5,81429,11.31,3,1,1,JJ|NN|RB|minor
worthiest,9,4,1.39,7,3,3,JJ
worthless,9,5546,8.62,6,2,2,JJ
worthlessness,13,132,4.88,9,3,3,NN
worthwhile,10,5520,8.62,7,2,2,JJ
worthy,6,6530,8.78,4,2,2,JJ
would,5,1278502,14.06,3,1,1,VB
wouldbe,7,57,4.04,5,2,2,JJ
wouldn't,8,87980,11.38,5,2,2,encl
wound,5,6139,8.72,4,1,1,VB
wounded,7,3852,8.26,6,2,2,VB|JJ
wounding,8,313,5.75,6,2,2,VB
wounds,6,2743,7.92,5,1,2,NN|VB
alms,4,134,4.9,3,1,1,NN
woven,5,884,6.78,4,2,2,VB|JJ
aloe,4,304,5.72,3,2,1,NN
wrack,5,43,3.76,3,1,1,NN|VB
wraith,6,3289,8.1,3,1,1,NN
wrangle,7,99,4.6,5,2,1,NN|VB
wrangled,8,20,3,6,2,2,VB
wrangler,8,788,6.67,6,2,2,NN
Alps,4,805,6.69,4,1,1,NN
wrapped,7,6130,8.72,4,1,2,VB
wrapper,7,1761,7.47,4,2,2,NN
wrappers,8,814,6.7,5,2,3,NN
wrapping,8,1681,7.43,5,2,2,VB
wraps,5,1747,7.47,4,1,2,VB
wrath,5,5643,8.64,3,1,1,NN
wrathful,8,43,3.76,5,2,2,JJ
wreak,5,453,6.12,3,1,1,VB
wreath,6,287,5.66,3,1,1,NN
wreathe,7,9,2.2,3,1,1,VB
wreathed,8,33,3.5,4,1,2,VB|JJ
wreaths,7,83,4.42,4,1,2,NN
wreck,5,2161,7.68,3,1,1,NN|VB
wreckage,8,452,6.11,5,2,2,NN
wrecked,7,802,6.69,4,1,2,VB|JJ
wrecker,7,72,4.28,4,2,2,NN
wrecking,8,406,6.01,5,2,2,VB|NN
Al's,4,941,6.85,3,1,2,encl
wrench,6,1389,7.24,4,1,1,VB|NN
wrenched,8,168,5.12,5,1,2,VB
wrenches,8,341,5.83,6,2,2,NN|VB
wrenching,9,240,5.48,6,2,2,JJ|VB
wrest,5,150,5.01,4,1,1,VB
wrestle,7,952,6.86,4,2,1,VB
wrestler,8,1141,7.04,5,2,2,NN
wrestler's,10,44,3.78,6,2,3,encl
wrestles,8,90,4.5,5,2,2,VB
wrestling,9,5323,8.58,6,2,2,VB|NN
wrestlings,10,5,1.61,7,2,3,NN
wretch,6,153,5.03,3,1,1,NN
wretched,8,3585,8.18,5,2,2,JJ
wretchedness,12,45,3.81,8,3,3,NN
wriggle,7,251,5.53,4,2,1,NN|VB
wright,6,8275,9.02,3,1,1,NN
Wrigley,7,383,5.95,5,2,2,NN
wring,5,266,5.58,3,1,1,VB|NN
wringer,7,70,4.25,4,2,2,NN
wrings,6,17,2.83,4,1,2,VB|NN
wrinkle,7,385,5.95,5,2,1,NN|VB
wrinkled,8,560,6.33,6,2,2,JJ|VB
wrinkles,8,586,6.37,6,2,2,NN|VB
wrinkly,7,69,4.23,6,3,2,JJ
wrist,5,4355,8.38,4,1,1,NN
wristband,9,36,3.58,8,2,2,NN
wrists,6,2255,7.72,5,1,2,NN
wristwatch,10,146,4.98,7,2,2,NN
also,4,782967,13.57,4,2,1,RB
write,5,132648,11.8,3,1,1,VB
writer,6,22933,10.04,4,2,2,NN
writers,7,19496,9.88,5,2,3,NN
writer's,8,2003,7.6,5,2,3,encl
writes,6,565774,13.25,4,1,2,VB
writhe,6,176,5.17,3,1,1,VB
writhed,7,269,5.59,4,1,2,VB
writhing,8,817,6.71,5,2,2,VB
writing,7,73085,11.2,5,2,2,VB|NN
writings,8,5891,8.68,6,2,3,NN
writs,5,216,5.38,4,1,2,NN
written,7,103440,11.55,4,2,2,VB|JJ
wrong,5,138848,11.84,3,1,1,JJ|NN|RB|VB
wrongdoer,9,54,3.99,6,2,3,NN
wronged,7,346,5.85,4,1,2,VB|JJ
wrongful,8,560,6.33,5,2,2,JJ
wrongdoing,10,695,6.54,7,3,3,NN|VB|JJ
wrongly,7,1415,7.25,5,2,2,RB
wrongs,6,1294,7.17,4,1,2,NN|VB
wrote,5,1028146,13.84,3,1,1,VB
wrought,7,544,6.3,3,1,1,VB|JJ
alto,4,5834,8.67,4,2,1,NN
wryly,5,117,4.76,4,2,2,RB
Wyndham's,9,12,2.48,7,2,NULL,NULL
Wyoming,7,1981,7.59,6,3,1,NN
Xavier,6,2967,8,5,2,1,NN
Xavier's,8,132,4.88,6,2,2,encl
xenon,5,253,5.53,5,2,1,NN|JJ
xenophobia,10,323,5.78,9,4,3,NN
xenophobic,10,344,5.84,9,4,3,JJ
xerox,5,2944,7.99,6,2,1,NN|VB
xylophone,9,67,4.2,7,3,2,NN
xylophones,10,12,2.48,8,3,3,NN
yacht,5,1006,6.91,3,1,1,NN
